366,BTE,Baytex Energy Corp,US,stock,100
367,BBT,BB&T Corporation,US,stock,100
368,BBT^D,BB&T Corporation,US,stock,100
369,BBT^E,BB&T Corporation,US,stock,100
370,BBT^F,BB&T Corporation,US,stock,100
371,BBT^G,BB&T Corporation,US,stock,100
372,BFR,BBVA Banco Frances S.A.,US,stock,100
373,BBX,BBX Capital Corporation,US,stock,100
374,BCE,BCE,,,100
375,TZF,Bear Stearns Depositor,,,100
376,BZH,Beazer Homes USA,,,100
377,BDX,Becton,,,100
378,BDC,Belden Inc,US,stock,100
379,BXE,Bellatrix Exploration Ltd,US,stock,100
380,BEL,Belmond Ltd.,US,stock,100
381,BMS,Bemis Company,,,100
382,BHE,Benchmark Electronics,,,100
383,BRK.A,Berkshire Hathaway Inc.,US,stock,100
384,BRK.B,Berkshire Hathaway Inc.,US,stock,100
385,BHLB,Berkshire Hills Bancorp,,,100
386,BBY,Best Buy Co.,,,100
387,BGCA,BGC Partners,,,100
388,BHP,BHP Billiton Limited,US,stock,100
389,BBL,BHP Billiton plc,US,stock,100
390,BIG,Big Lots,,,100
391,BH,Biglari Holdings Inc.,US,stock,100
392,BBG,Bill Barrett Corporation,US,stock,100
393,BIOA,BioAmber Inc.,US,stock,100
394,BIOA.WS,BioAmber Inc.,US,stock,100
395,BMR,Biomed Realty Trust,US,stock,100
396,BIO,Bio-Rad Laboratories,,,100
397,BIO.B,Bio-Rad Laboratories,,,100
398,BITA,Bitauto Holdings Limited,US,stock,100
399,BKH,Black Hills Corporation,US,stock,100
400,BKHU,Black Hills Corporation,US,stock,100
401,BKFS,Black Knight Financial Services,,,100
402,BSM,Black Stone Minerals,,,100
403,BJZ,Blackrock California Municipal 2018 Term Trust,US,stock,100
404,BFZ,BlackRock California Municipal Income Trust,US,stock,100
405,CII,Blackrock Capital and Income Strategies Fund Inc,US,stock,100
406,BHK,Blackrock Core Bond Trust,US,stock,100
407,HYT,Blackrock Corporate High Yield Fund,,,100
408,BTZ,BlackRock Credit Allocation Income Trust,US,stock,100
409,DSU,Blackrock Debt Strategies Fund,,,100
410,BHL,Blackrock Defined Opportunity Credit Trust,US,stock,100
411,BGR,BlackRock Energy and Resources Trust,US,stock,100
412,BDJ,Blackrock Enhanced Equity Dividend Trust,US,stock,100
413,EGF,Blackrock Enhanced Government Fund,,,100
414,FRA,Blackrock Floating Rate Income Strategies Fund Inc,US,stock,100
415,BFO,Blackrock Florida Municipal 2020 Term Trust,US,stock,100
416,BGT,Blackrock Global,US,stock,100
417,BOE,Blackrock Global,US,stock,100
418,BME,Blackrock Health Sciences Trust,US,stock,100
419,BAF,BlackRock Income Investment Quality Trust,US,stock,100
420,BKT,BlackRock Income Trust Inc. (The),US,stock,100
421,BGY,BLACKROCK INTERNATIONAL,,,100
422,BKN,BlackRock Investment Quality Municipal Trust Inc. (The),US,stock,100
423,BTA,BlackRock Long-Term Municipal Advantage Trust,US,stock,100
424,BIT,BlackRock Multi-Sector Income Trust,US,stock,100
425,MUI,Blackrock Muni Intermediate Duration Fund Inc,US,stock,100
426,MNE,Blackrock Muni New York Intermediate Duration Fund Inc,US,stock,100
427,MUA,Blackrock MuniAssets Fund,,,100
428,BPK,Blackrock Municipal 2018 Term Trust,US,stock,100
429,BKK,Blackrock Municipal 2020 Term Trust,US,stock,100
430,BIE,Blackrock Municipal Bond Investment Trust,US,stock,100
431,BBK,Blackrock Municipal Bond Trust,US,stock,100
432,BBF,BlackRock Municipal Income Investment Trust,US,stock,100
433,BYM,Blackrock Municipal Income Quality Trust,US,stock,100
434,BFK,BlackRock Municipal Income Trust,US,stock,100
435,BTT,BlackRock Municipal Target Term Trust Inc. (The),US,stock,100
436,MEN,Blackrock MuniEnhanced Fund,,,100
437,MUC,Blackrock MuniHoldings California Quality Fund,,,100
438,MUH,Blackrock MuniHoldings Fund II,,,100
439,MHD,Blackrock MuniHoldings Fund,,,100
440,MFL,Blackrock MuniHoldings Investment Quality Fund,US,stock,100
441,MUJ,Blackrock MuniHoldings New Jersey Insured Fund,,,100
